ARM00087548,20200101,TMAX,298,,,S,
ARM00087548,20200101,TMIN,191,,,S,
ARM00087548,20200101,TAVG,226,H,,S,
ARM00087563,20200101,TMAX,295,,,S,
ARM00087563,20200101,TMIN,175,,,S,
ARM00087563,20200101,TAVG,220,H,,S,
ARM00087576,20200101,TMAX,280,,,S,
ARM00087576,20200101,TMIN,183,,,S,
ARM00087576,20200101,TAVG,225,H,,S,
ARM00087582,20200101,TMAX,279,,,S,
ARM00087582,20200101,TMIN,195,,,S,
ARM00087582,20200101,TAVG,228,H,,S,
ARM00087593,20200101,TMAX,267,,,S,
ARM00087593,20200101,TMIN,179,,,S,
ARM00087593,20200101,TAVG,214,H,,S,
ARM00087596,20200101,TMAX,250,,,S,
ARM00087596,20200101,TMIN,190,,,S,
ARM00087596,20200101,PRCP,0,,,S,
ARM00087596,20200101,TAVG,231,H,,S,
ARM00087640,20200101,TMAX,299,,,S,
ARM00087640,20200101,TMIN,177,,,S,
ARM00087640,20200101,TAVG,241,H,,S,
ARM00087641,20200101,TMAX,260,,,S,
ARM00087641,20200101,TMIN,176,,,S,
ARM00087641,20200101,TAVG,211,H,,S,
ARM00087643,20200101,TMIN,175,,,S,
ARM00087643,20200101,TAVG,231,H,,S,
ARM00087645,20200101,TMAX,256,,,S,
ARM00087645,20200101,TMIN,165,,,S,
ARM00087645,20200101,PRCP,0,,,S,
ARM00087645,20200101,TAVG,199,H,,S,
ARM00087648,20200101,TMAX,262,,,S,
ARM00087648,20200101,TMIN,179,,,S,
ARM00087648,20200101,PRCP,0,,,S,
ARM00087648,20200101,TAVG,206,H,,S,
ARM00087765,20200101,TMIN,124,,,S,
ARM00087765,20200101,TAVG,197,H,,S,
ARM00087774,20200101,TMAX,308,,,S,
ARM00087774,20200101,TMIN,136,,,S,
ARM00087774,20200101,TAVG,235,H,,S,
ARM00087784,20200101,TMIN,164,,,S,
ARM00087784,20200101,TAVG,218,H,,S,
ARM00087791,20200101,TMIN,163,,,S,
ARM00087791,20200101,TAVG,199,H,,S,
ARM00087800,20200101,TAVG,261,H,,S,
ARM00087852,20200101,TMIN,95,,,S,
ARM00087852,20200101,TAVG,210,H,,S,
ARM00087896,20200101,TMIN,112,,,S,
ARM00087896,20200101,TAVG,187,H,,S,
ARM00087904,20200101,TMIN,60,,,S,
ARM00087904,20200101,TAVG,177,H,,S,
ARM00087909,20200101,TMIN,107,,,S,
ARM00087909,20200101,TAVG,171,H,,S,
ARM00087934,20200101,TMAX,182,,,S,
ARM00087934,20200101,TMIN,57,,,S,
ARM00087934,20200101,PRCP,5,,,S,
ARM00087934,20200101,TAVG,124,H,,S,
ARM00087938,20200101,TMIN,86,,,S,
ARM00087938,20200101,TAVG,142,H,,S,
ASM00094299,20200101,TMAX,323,,,S,
ASM00094299,20200101,TMIN,260,,,S,
ASM00094299,20200101,PRCP,3,,,S,
ASM00094299,20200101,TAVG,287,H,,S,
ASM00094995,20200101,TMAX,267,,,S,
ASM00094995,20200101,PRCP,0,,,S,
ASM00094995,20200101,TAVG,232,H,,S,
ASM00094998,20200101,TAVG,81,H,,S,
ASN00001006,20200101,TMAX,383,,,a,
ASN00001006,20200101,TMIN,253,,,a,
ASN00001006,20200101,PRCP,164,,,a,
ASN00001007,20200101,TMAX,345,,,a,
ASN00001007,20200101,TMIN,290,,,a,
ASN00001007,20200101,PRCP,0,,,a,
ASN00001010,20200101,PRCP,90,,,a,
ASN00001013,20200101,PRCP,26,,,a,
ASN00001018,20200101,TMAX,350,,,a,
ASN00001018,20200101,TMIN,223,,,a,
ASN00001018,20200101,PRCP,150,,,a,
ASN00001019,20200101,TMAX,386,,,a,
ASN00001019,20200101,TMIN,251,,,a,
ASN00001019,20200101,PRCP,46,,,a,
ASN00001019,20200101,TAVG,319,H,,S,
ASN00001020,20200101,TMAX,358,,,a,
ASN00001020,20200101,TMIN,265,,,a,
ASN00001020,20200101,PRCP,0,,,a,
ASN00001023,20200101,PRCP,82,,,a,
ASN00001024,20200101,PRCP,0,,,a,
ASN00001025,20200101,TMAX,355,,,a,
ASN00001025,20200101,TMIN,215,,,a,
ASN00001025,20200101,PRCP,110,,,a,
ASN00001026,20200101,PRCP,12,,,a,
ASN00001027,20200101,PRCP,0,,,a,
ASN00001028,20200101,PRCP,70,,,a,
ASN00001031,20200101,PRCP,0,,,a,
ASN00001035,20200101,PRCP,245,,,a,
ASN00002005,20200101,PRCP,0,,,a,
ASN00002009,20200101,PRCP,126,,,a,
ASN00002012,20200101,TMAX,352,,,S,
ASN00002012,20200101,TMIN,228,,,S,
ASN00002012,20200101,PRCP,221,,,S,
ASN00002012,20200101,TAVG,288,H,,S,
ASN00002013,20200101,PRCP,0,,,a,
ASN00002020,20200101,PRCP,610,,,a,
ASN00002021,20200101,PRCP,12,,,a,
ASN00002022,20200101,PRCP,152,,,a,
ASN00002023,20200101,PRCP,120,,,a,
ASN00002026,20200101,PRCP,82,,,a,
ASN00002029,20200101,PRCP,290,,,a,
ASN00002030,20200101,PRCP,176,,,a,
ASN00002032,20200101,TMAX,390,,,a,
ASN00002032,20200101,DAPR,6,,,a,
ASN00002032,20200101,DATN,6,,,a,
ASN00002032,20200101,MDPR,90,,,a,
ASN00002032,20200101,MDTN,225,,,a,
ASN00002036,20200101,PRCP,450,,,a,
ASN00002043,20200101,PRCP,6,,,a,
ASN00002044,20200101,PRCP,40,,,a,
ASN00002048,20200101,PRCP,0,,,a,
ASN00002049,20200101,PRCP,90,,,a,
ASN00002051,20200101,PRCP,0,,,a,
ASN00002053,20200101,PRCP,214,,,a,
ASN00002056,20200101,TMAX,382,,,a,
ASN00002056,20200101,TMIN,250,,,a,
ASN00002056,20200101,PRCP,24,,,a,
ASN00002060,20200101,PRCP,0,,,a,
ASN00002061,20200101,PRCP,2,,,a,
ASN00002064,20200101,TMAX,387,,,a,
ASN00002064,20200101,TMIN,261,,,a,
ASN00002064,20200101,PRCP,34,,,a,
ASN00002067,20200101,PRCP,50,,,a,
ASN00002069,20200101,PRCP,58,,,a,
ASN00003001,20200101,PRCP,0,,,a,
ASN00003003,20200101,TMAX,398,,,a,
ASN00003003,20200101,TMIN,283,,,a,
ASN00003003,20200101,PRCP,0,,,a,
ASN00003003,20200101,TAVG,327,H,,S,
ASN00003009,20200101,PRCP,80,,,a,
ASN00003014,20200101,PRCP,0,,,a,
ASN00003015,20200101,PRCP,116,,,a,
ASN00003017,20200101,PRCP,82,,,a,
ASN00003018,20200101,PRCP,446,,,a,
ASN00003019,20200101,PRCP,290,,,a,
ASN00003024,20200101,PRCP,0,,,a,
ASN00003026,20200101,PRCP,0,,,a,
ASN00003027,20200101,PRCP,0,,,a,
ASN00003028,20200101,PRCP,410,,,a,
ASN00003030,20200101,TMAX,360,,,a,
ASN00003030,20200101,TMIN,230,,,a,
ASN00003030,20200101,PRCP,170,,,a,
ASN00003032,20200101,TMAX,362,,,a,
ASN00003032,20200101,TMIN,276,,,a,
ASN00003032,20200101,PRCP,0,,,a,
ASN00003040,20200101,PRCP,160,,,a,
ASN00003041,20200101,PRCP,0,,,a,
ASN00003043,20200101,PRCP,2,,,a,
ASN00003044,20200101,PRCP,60,,,a,
ASN00003048,20200101,PRCP,0,,,a,
ASN00003051,20200101,PRCP,544,,,a,
ASN00003052,20200101,PRCP,0,,,a,
ASN00003057,20200101,TMAX,367,,,a,
ASN00003057,20200101,TMIN,269,,,a,
ASN00003057,20200101,PRCP,0,,,a,
ASN00003059,20200101,PRCP,350,,,a,
ASN00003063,20200101,PRCP,0,,,a,
ASN00003066,20200101,PRCP,168,,,a,
ASN00003068,20200101,PRCP,0,,,a,
ASN00003073,20200101,PRCP,0,,,a,
ASN00003075,20200101,PRCP,0,,,a,
ASN00003080,20200101,TMAX,382,,,a,
ASN00003080,20200101,TMIN,241,,,a,
ASN00003080,20200101,PRCP,0,,,a,
ASN00003084,20200101,PRCP,0,,,a,
ASN00003086,20200101,PRCP,0,,,a,
ASN00003088,20200101,PRCP,44,,,a,
ASN00003090,20200101,PRCP,0,,,a,
ASN00003093,20200101,TMAX,362,,,a,
ASN00003093,20200101,TMIN,248,,,a,
ASN00003093,20200101,PRCP,10,,,a,
ASN00003098,20200101,PRCP,106,,,a,
ASN00003100,20200101,PRCP,0,,,a,
ASN00003105,20200101,PRCP,41,,,a,
ASN00004004,20200101,PRCP,0,,,a,
ASN00004006,20200101,PRCP,0,,,a,
ASN00004012,20200101,PRCP,0,,,a,
ASN00004016,20200101,PRCP,20,,,a,
ASN00004019,20200101,TMAX,396,,,a,
ASN00004019,20200101,TMIN,254,,,a,
ASN00004019,20200101,PRCP,0,,,a,
ASN00004022,20200101,PRCP,0,,,a,
ASN00004023,20200101,PRCP,0,,,a,
ASN00004026,20200101,PRCP,0,,,a,
ASN00004028,20200101,TMIN,181,,,a,
ASN00004028,20200101,PRCP,120,,,a,
ASN00004032,20200101,TMAX,364,,,a,
ASN00004032,20200101,TMIN,287,,,a,
ASN00004032,20200101,PRCP,0,,,a,
ASN00004032,20200101,TAVG,317,H,,S,
ASN00004033,20200101,PRCP,0,,,a,
ASN00004038,20200101,PRCP,0,,,a,
ASN00004039,20200101,PRCP,0,,,a,
ASN00004041,20200101,PRCP,0,,,a,
ASN00004046,20200101,PRCP,15,,,a,
ASN00004059,20200101,PRCP,30,,,a,
ASN00004068,20200101,PRCP,0,,,a,
ASN00004083,20200101,TMAX,356,,,a,
ASN00004083,20200101,TMIN,294,,,a,
ASN00004083,20200101,PRCP,0,,,a,
ASN00004086,20200101,PRCP,0,,,a,
ASN00004090,20200101,TMAX,380,,,a,
ASN00004090,20200101,TMIN,291,,,a,
ASN00004090,20200101,PRCP,0,,,a,
ASN00004102,20200101,PRCP,0,,,a,
ASN00004106,20200101,TMAX,435,,,a,
ASN00004106,20200101,TMIN,291,,,a,
ASN00004106,20200101,PRCP,0,,,a,
ASN00005001,20200101,PRCP,0,,,a,
ASN00005004,20200101,PRCP,0,,,a,
ASN00005006,20200101,PRCP,0,,,a,
ASN00005007,20200101,TMAX,400,,,a,
ASN00005007,20200101,TMIN,226,,,a,
ASN00005007,20200101,PRCP,0,,,a,
ASN00005007,20200101,TAVG,290,H,,S,
